ID,site,ALS,P1,P2,P3,T1,T2,T3,GR1,GR2,GR3,PM2.5_1,PM2.5_2,PM2.5_3,PM2.5_4,CO2_1,CO2_2,CO2_3,pop1,pop2,pop3,GDP1,GDP2,GDP3,area1,area2,area3,light,income
1,1,87.12809223,245.1750011,416.9250107,315.3000069,14.71819115,13.21675515,13.84248376,0.312845526,0.355159525,0.310195811,11.6309,9.872372,10.61908,11.854868,11.35993769,11.50833495,11.66058527,11.72141241,11.64671703,11.4699793,22.15221133,21.99737381,21.78473239,3.737688782,3.686620893,3.616713242,19.10293946,4
2,1,38.54796203,324.9250069,481.5500031,297.7250099,15.27411008,13.86521363,14.01368928,0.358100922,0.385915147,0.319948806,10.93275,10.115544,9.863294,12.87748,10.26454374,10.43770136,10.62488887,11.12390867,11.09165548,10.96004551,21.41580573,21.28128034,21.06863896,3.323577043,3.29255055,3.250684174,14.66914209,4
3,1,38.29809451,183.9250069,319.7000084,251.6750031,15.37690687,13.86678267,14.54504657,0.362784899,0.381240383,0.314719803,13.8037,13.21208,14.67398,16.6003,11.21953901,11.36870331,11.51850193,11.65053858,11.57777492,11.40185008,22.14870915,21.97601732,21.76337595,3.640260198,3.599847647,3.501799777,19.63392465,4
4,1,24.08581144,324.9250069,481.5500031,297.7250099,15.27411008,13.86521363,14.01368928,0.353734305,0.364367517,0.315879162,11.86825,11.066058,11.13396,13.89952,10.99687401,11.18147724,11.36823076,11.52779581,11.50584249,11.35913593,22.08189632,21.96066631,21.74802501,3.541173809,3.523781946,3.487608389,13.49151123,4
5,1,21.30891932,324.9250069,481.5500031,297.7250099,15.27411008,13.86521363,14.01368928,0.339630554,0.362779151,0.35044232,12.3763,11.050886,11.20696,13.24922,11.99027276,12.17066375,12.36817463,11.91695178,11.88425168,11.75355451,22.29476038,22.16373124,21.95109013,3.714667959,3.673724318,3.576792673,24.16881129,4
6,1,21.89917854,238.6750031,394.6500168,313.0999947,17.05357695,15.53166127,16.23272729,0.299903009,0.327579511,0.285802321,17.0109,15.25618,16.9598,19.68142,12.57523639,12.69356323,12.87905646,12.60419887,12.48647749,12.35151007,23.09778288,22.88949342,22.67685227,4.575159596,4.514348848,4.465092493,27.88130177,4
7,1,19.73178283,324.9250069,481.5500031,297.7250099,15.27411008,13.86521363,14.01368928,0.365767528,0.366978482,0.341078812,12.48155,11.277852,11.32702,13.89084,10.84455109,11.03359706,11.2211594,10.91497319,10.89031138,10.74475673,21.08338754,20.96309042,20.7504491,2.670204641,2.582070498,2.542756984,19.23893629,4
8,1,41.40435654,354.3750038,530.0250015,331.6750107,15.53486609,14.40610623,14.36730981,0.306727058,0.321115869,0.274381031,11.9947,11.25792,11.37164,13.9966,16.1808975,16.42629486,16.52899478,15.34264483,15.28862568,15.14273484,25.89374983,25.74054567,25.52728688,7.175533983,7.161608934,7.121229676,27.91794135,4
9,1,67.41640989,238.6750031,394.6500168,313.0999947,17.05357695,15.53166127,16.23272729,0.358960136,0.377343172,0.333054988,15.5254,13.71648,15.22172,17.5371,11.71935737,11.83721883,12.01703044,11.0955739,10.97719464,10.8448204,21.4403792,21.23142323,21.01878169,3.432293275,3.33562052,3.228401615,21.04876865,4
10,1,270.9833126,262.8000031,401.8249969,346.875,16.24344993,14.76368022,15.5053575,0.347211862,0.368272281,0.315878278,15.62365,13.11822,14.98262,17.62718,12.46610017,12.58799225,12.76957543,11.89379968,11.79110278,11.65431342,22.31949786,22.12016464,21.90752336,4.264072936,4.232466832,4.1095558,17.62929514,4
11,1,172.5908688,236.1500053,301.4000053,307.8000031,17.60802174,16.09112787,16.86275053,0.293597406,0.322272072,0.268778915,16.4171,14.6612,16.507,19.35878,17.34669752,17.55517899,17.67391305,16.47449094,16.39444677,16.25147421,27.05832009,26.88236123,26.67130083,8.440910245,8.411343515,8.291542716,37.90369685,4
12,1,491.324152,359.4000092,310.9250031,408.0750122,14.57306814,13.15471268,13.61543274,0.270224348,0.305093135,0.269560597,11.5835,11.1972,12.76708,13.8581,12.06264512,11.91177558,12.15260136,11.95212987,11.44530865,11.47117866,22.43123281,21.82476224,21.61212095,3.910021874,3.893303038,3.597160915,17.96701826,4
13,1,138.2484666,172.7000008,239.9000015,199.1749992,18.45828629,17.1458168,17.68333769,0.310713709,0.354176766,0.324384188,18.18185,15.2652,16.34246,19.72246,10.46329917,10.48065335,10.68312717,10.95222411,10.69628584,10.6101648,21.37157812,21.01056368,20.79792224,2.833907266,2.745939249,2.432887681,19.48476546,4
14,1,968.4534615,342.0000038,355.8749962,411.4250107,14.81475878,13.37538695,13.97738051,0.184925337,0.235868163,0.173023474,11.0788,9.159874,10.393722,10.67464,11.33638887,11.34666712,11.56719141,11.08618832,10.83583512,10.76765475,21.3466462,21.00021099,20.78756957,3.258144221,2.842612429,1.903242154,18.14501415,4
