ID,site,ALS,P1,P2,P3,T1,T2,T3,GR1,GR2,GR3,PM2.5_1,PM2.5_2,PM2.5_3,PM2.5_4,CO2_1,CO2_2,CO2_3,pop1,pop2,pop3,GDP1,GDP2,GDP3,area1,area2,area3,light,income
1,3,47.33,363.78,200.08,270.8,23.61,22.86,22.61,0.21,0.21,0.14,6.59,6.78,7.18,8.14,10.5,10.2,9.87,12.43,12.06,11.74,21.68,21.35,21.28,3.02,2.96,2.85,33.37,3
2,3,55.21,667.5,351.68,529.93,23.22,22.56,22.41,0.3,0.31,0.19,4.84,5.17,5.47,6.61,9.53,8.8,8.37,11.59,10.51,9.71,20.87,19.88,19.81,2.6,2.54,2.32,31.74,3
3,3,2409.78,3666,3526.88,3396.98,21.86,21.32,20.98,0.49,0.52,0.42,11.47,10.01,12.38,17.02,8.31,7.85,7.3,11.7,11.4,11.18,19.06,18.23,17.27,1.84,1.79,1.65,6.77,2
4,3,51.41,1782.15,1650.35,1466.85,26.13,25.6,25.75,0.53,0.49,0.4,6.5,5.78,7.3,9.26,9.85,10.11,10.13,11.96,11.97,11.95,21.6,21.03,21.22,2.62,2.57,2.46,6.9,3
5,3,51.13,1096.05,1422.75,1276.1,27.9,27.22,26.95,0.46,0.45,0.37,13.6,12.78,14.87,17.17,7.01,7.23,6.88,11.11,10.97,10.8,19.41,18.95,18.83,1.23,1.2,0.94,23.74,3
6,3,49.8,699.25,640.9,610.53,26.64,26.58,26.4,0.38,0.46,0.4,6.95,6.9,8.04,9.96,6.46,5.62,5.13,12,11.6,10.88,18.45,18.15,18.14,1.7,1.58,0.77,0.46,1
7,3,173.24,1316.68,1559.88,1631.48,26.65,26.09,25.61,0.39,0.41,0.39,8.82,9.2,11.62,11.15,8.72,8.69,8.19,10.97,10.67,10.4,19.36,19.16,19.15,1.27,1.14,0.66,14.98,3
8,3,1292.25,854.15,1065.45,1194.55,21.54,21.19,20.78,0.42,0.4,0.34,6.03,5.89,7.02,8.97,12.61,12.69,12.25,12.5,12.33,12.15,20.82,20.68,20.67,2.84,2.78,2.59,21.06,3
9,3,83.15,892.3,1018.32,999.1,28.34,27.97,28.04,0.42,0.41,0.33,9.36,9.75,10.77,11.68,12,12.08,11.63,12.81,12.61,12.42,22.71,22.61,22.61,3.53,3.49,3.25,47.9,3
10,3,105.69,600.75,895.52,623.65,13.46,12.93,12.93,0.28,0.33,0.28,37.15,36.87,37.94,38.19,10.65,10.48,9.76,12.41,12.15,11.91,21.49,20.99,20.4,2.6,2.5,2.19,29.46,4
