ID,site,ALS,P1,P2,P3,T1,T2,T3,GR1,GR2,GR3,PM2.5_1,PM2.5_2,PM2.5_3,PM2.5_4,CO2_1,CO2_2,CO2_3,pop1,pop2,pop3,GDP1,GDP2,GDP3,area1,area2,area3,light,income,name,name1,name2,GCPNT_LAT,GCPNT_LON,CTR_MN_NM,GRGN_L1
1,3,47.32693997,363.775013,200.0750103,270.8000107,23.61482906,22.8600359,22.61257696,0.213628653,0.212623767,0.1414879,6.59086,6.78301,7.181296,8.138194,36334.59224,26940.81154,19294.41534,249632.318,173163.187,125826.3107,2613987072,1879677824,1747582336,20.51037788,19.23721695,17.33853531,33.37022519,3,La Paz,,,24.11765765,-110.3101186,Mexico,Latin America and the Caribbean
2,3,55.20589669,667.5000229,351.6750031,529.9250107,23.22371578,22.56195879,22.40864944,0.299346518,0.307730228,0.193445395,4.840625,5.170998,5.468372,6.613376,13752.27374,6636.291538,4313.342619,108084.7888,36757.72854,16548.39011,1159649920,431400512,401083552,13.45333481,12.74091148,10.16761589,31.74070112,3,San Jos¨¦ del Cabo,,,23.08410344,-109.7121747,Mexico,Latin America and the Caribbean
3,3,2409.775033,3666.000122,3526.875122,3396.975098,21.85971928,21.32251644,20.97715187,0.489939607,0.520582459,0.416194959,11.46833,10.012888,12.37956,17.0209,4051.238978,2558.405852,1484.692261,120305.7353,89360.58154,71777.11423,189945168,82821448,31642052,6.271338463,5.993079662,5.185933113,6.770823389,2,San Pedro Sacatep¨¦quez [San Marcos],,,14.95987337,-91.79127963,Guatemala,Latin America and the Caribbean
4,3,51.41474725,1782.149994,1650.350037,1466.850037,26.13130283,25.59644461,25.7484436,0.531130359,0.486222867,0.399782148,6.497945,5.782648,7.303656,9.263282,18978.20783,24627.18388,25127.05329,156255.0093,157368.851,154738.1796,2405540352,1354090496,1642500480,13.78516674,13.12805462,11.71099091,6.903134567,3,Pinar del Rio,,,22.41725918,-83.69585921,Cuba,Latin America and the Caribbean
5,3,51.12741122,1096.050003,1422.750061,1276.100021,27.90086651,27.21594667,26.95101833,0.461699096,0.447774395,0.372419987,13.6,12.7828,14.8736,17.1736,1110.272945,1383.602563,975.4577949,67074.67505,58065.94238,49238.04382,268570720,170400368,150295552,3.428212166,3.316427708,2.567997932,23.73883025,3,Fundaci¨®n,,,10.51641013,-74.19305497,Colombia,Latin America and the Caribbean
6,3,49.79892572,699.2500076,640.9000168,610.5250092,26.64010572,26.58442688,26.39881086,0.378540671,0.456274713,0.395474798,6.951415,6.89849,8.040756,9.958296,636.9745444,275.6394063,169.5405949,162739.91,108765.1791,53074.79443,102825872,76380688,75448824,5.465295792,4.851428032,2.157529116,0.461327897,1,Saint-Marc,,,19.10266532,-72.70123042,Haiti,Latin America and the Caribbean
7,3,173.2400055,1316.675018,1559.875031,1631.475006,26.64720869,26.08715677,25.60639524,0.393384054,0.409989651,0.389714209,8.81864,9.195594,11.62303,11.151196,6143.41865,5971.258018,3605.315035,58336.82251,43198.95642,32736.18134,255673728,208762800,208225888,3.57055378,3.114216089,1.928407192,14.97717428,3,Ciudad Bolivia,,,8.352885918,-70.57392678,Venezuela,Latin America and the Caribbean
8,3,1292.25042,854.1500092,1065.450027,1194.550018,21.54063797,21.19085789,20.7833848,0.421618431,0.400149222,0.341585397,6.03447,5.885396,7.019128,8.973122,298192.7052,325382.2332,208147.6599,268516.5048,225517.4386,188923.9176,1105298176,953624768,951171904,17.03142357,16.18300819,13.35782814,21.06198247,3,Los Teques,,,10.35624983,-67.01307902,Venezuela,Latin America and the Caribbean
9,3,83.14834989,892.3000183,1018.324997,999.0999908,28.33641148,27.96539927,28.0409894,0.415504563,0.409634126,0.329602758,9.357885,9.75235,10.765516,11.68334,162991.8781,176787.9256,112637.9996,366989.4054,298732.5576,247504.8759,7258848768,6591089152,6574136832,33.95932007,32.72523499,25.83331871,47.89770638,3,Ciudad Bol¨ªvar,,,8.094605375,-63.55468318,Venezuela,Latin America and the Caribbean
10,3,105.6860368,600.75,895.5249939,623.6500092,13.4615252,12.93202925,12.93297029,0.277702544,0.33361006,0.284665599,37.1465,36.87366,37.9433,38.1865,42219.29342,35727.29534,17328.43488,246042.6863,189996.4728,148503.8781,2153731584,1301983744,723145792,13.4652977,12.17290878,8.929505348,29.46425505,4,Talca,,,-35.43151481,-71.65781838,Chile,Latin America and the Caribbean
11,3,242.085856,925.5000153,1009.300034,1106.475037,26.29031372,25.78409672,25.82637501,0.341784025,0.350528921,0.277889776,4.9358,4.645186,5.921728,7.737776,18461.51012,25321.33771,8943.167386,60905.09558,47739.43972,36183.54345,249113488,214769808,214217408,2.858583927,2.560602188,0.874579072,149.8408438,3,Punta de Mata,,,9.695324764,-63.60505421,Venezuela,Latin America and the Caribbean
12,3,20.81489651,1586.625031,1816.575012,1837.650055,26.59221458,26.26143122,26.44315052,0.455977197,0.427722517,0.264621884,5.635335,4.377602,5.495076,8.185994,753639.3221,302179.9393,240822.43,110202.9837,116495.1628,124154.3726,2290420224,1433531776,958766976,24.01263046,23.52052689,21.41881371,53.40374149,4,San Fernando,,,10.28141135,-61.44919115,Trinidad and Tobago,Latin America and the Caribbean
13,3,52.67677857,2198.350006,2334.500031,2446.250031,28.4890914,27.45384693,27.36870337,0.359664973,0.383779209,0.403430946,9.97703,8.99133,11.22197,18.41414,586457.9595,386718.4969,246101.018,2016986.561,1405518.082,1039052.369,17937397760,10615911424,9741604864,166.2532196,155.2778015,123.5699844,47.94051002,3,Manaus,,,-3.063915188,-59.9938984,Brazil,Latin America and the Caribbean
14,3,525.6302187,1743.800049,1415.550018,1549.050018,21.10220528,20.92044401,19.95448637,0.443516058,0.459911705,0.4464066,9.49346,7.759478,10.209898,12.75356,2992.779739,1949.706445,1160.974011,59089.86365,45297.49362,34317.3251,35574752,176135264,157617984,5.776612282,5.260369301,3.244091034,42.70202788,3,Cianorte,,,-23.66659516,-52.6160462,Brazil,Latin America and the Caribbean
15,3,459.5631674,1484.175049,1209.450043,1359.699982,20.73447609,20.51325607,19.56555748,0.396493962,0.439014752,0.434005883,9.5944,8.221818,10.58614,12.98014,4225.218351,3076.458877,2019.105623,68598.76135,62033.12231,54208.19104,69626560,425002944,380321856,7.456501961,6.901622772,4.632806778,32.78415489,3,Paranava¨ª,,,-23.08486248,-52.46023304,Brazil,Latin America and the Caribbean
